run_time,status,task1_seconds,task2_seconds,task2_3_seconds,task3_seconds,total_seconds,task1_cones_mm,errors
2018-01-29T01:13:57+08:00,completed,72.952,177.417,38.136,104.226,410.878,"[[1365, 383], [2560, 971]]",
2018-01-29T01:28:59+08:00,completed,69.786,169.000,71.021,199.380,527.442,"[[1365, 383], [2560, 971]]",
2018-01-29T00:37:11+08:00,failed,102.682,41.869,,,154.419,"[[1365, 383], [2560, 971]]",
2018-01-29T01:01:17+08:00,failed,55.229,,,,62.806,"[[1340, 535], [3220, 1291]]",
2018-01-29T01:08:15+08:00,failed,59.992,85.796,,,155.390,"[[1340, 414], [3220, 1231]]",
2018-01-29T00:47:15+08:00,completed,94.660,169.109,50.177,124.680,456.881,"[[1330, 452], [3150, 1193]]",
07282213,completed,85.263,145.535,43.744,130.166,422.948,"[[1300, 340], [3120, 1157]]",
08081817,failed,95.068,190.320,47.050,81.745,432.552,"[[900, 524], [2570, 1090]]",
08081845,completed,91.123,165.385,25.343,127.916,427.873,"[[900, 524], [2570, 1090]]",
08081940,failed,87.523,,,,95.761,"[[1300, 432], [3400, 980]]",
08081943,failed,83.716,,,,91.876,"[[1300, 432], [3400, 980]]",
08082010,failed,0.075,,,,7.679,"""unavailable: Task1 path plan start/finish mismatch. expected start_mm=[-350, 750] finish_mm=[4450, 750], got start_mm=[-500, 750] finish_mm=[4450, 750]. Run tools/task1_path_planner.py and press s to save again.""","main: Task1 path plan start/finish mismatch. expected start_mm=[-350, 750] finish_mm=[4450, 750], got start_mm=[-500, 750] finish_mm=[4450, 750]. Run tools/task1_path_planner.py and press s to save again."
08081012,failed,80.500,69.543,,,160.021,"[[1350, 160], [3400, 1044]]",
08082023,failed,0.066,,,,7.693,"""unavailable: Task1 path plan start/finish mismatch. expected start_mm=[-350, 750] finish_mm=[4350, 750], got start_mm=[-350, 750] finish_mm=[4450, 750]. Run tools/task1_path_planner.py and press s to save again.""","main: Task1 path plan start/finish mismatch. expected start_mm=[-350, 750] finish_mm=[4350, 750], got start_mm=[-350, 750] finish_mm=[4450, 750]. Run tools/task1_path_planner.py and press s to save again."
08082025,failed,82.622,179.446,,,272.154,"[[1350, 218], [3400, 1105]]",
08082033,completed,78.437,135.724,41.355,115.634,389.754,"[[1350, 218], [3400, 1105]]",
08082059,completed,78.197,128.606,31.266,114.263,370.916,"[[1350, 218], [3400, 1105]]",
